#
# @OSF_COPYRIGHT@
# COPYRIGHT NOTICE
# Copyright (c) 1990, 1991, 1992, 1993, 1996 Open Software Foundation, Inc.
# ALL RIGHTS RESERVED (DCE).  See the file named COPYRIGHT.DCE in the
# src directory for the full copyright text.
# HISTORY
# $Log: cds_attributes.txt,v $
# Revision 1.1.8.2  1996/03/09  23:11:53  marty
# 	Update OSF copyright year
# 	[1996/03/09  22:29:10  marty]
#
# Revision 1.1.8.1  1995/12/08  15:14:50  root
# 	Submit OSF/DCE 1.2.1
# 	[1995/12/08  14:42:21  root]
# 
# Revision 1.1.6.4  1994/08/16  18:27:51  jd
# 	drop from janet
# 	[1994/08/13  16:05:50  jd]
# 
# Revision 1.1.6.3  1994/07/12  19:36:08  zee
# 	Add CDS_CellAliases, CDS_ParentCellPointers.
# 	[1994/07/12  15:51:07  zee]
# 
# Revision 1.1.6.2  1994/06/30  19:15:28  mccann
# 	sams cleanup drop2
# 	[1994/06/30  18:37:25  mccann]
# 
# 	sams cleanup drop 2
# 
# Revision 1.1.6.1  1994/03/14  20:47:23  zeliff
# 	Undefuncting file
# 	[1994/03/14  20:47:03  zeliff]
# 
# Revision 1.1.4.2  1993/07/30  18:44:04  jd
# 	Add SEC_RepUUID.
# 	[1993/07/30  14:15:40  jd]
# 
# Revision 1.1.2.2  1992/12/30  13:28:20  zeliff
# 	Embedding copyright notices
# 	[1992/12/29  22:45:43  zeliff]
# 
# Revision 1.1  1992/01/19  18:43:27  devrcs
# 	Initial revision
# 
# $EndLog$
#
# COPYRIGHT (c) DIGITAL EQUIPMENT CORPORATION 1991. ALL RIGHTS RESERVED.
#
# The derivation of the stem of these object ids is:
#
#	{iso(1) identified-org(3) osf(22) dce(1) cds(3)}
#
#     OID       LABEL                   SYNTAX
#
1.3.22.1.3.10	CDS_Members		GroupMember
1.3.22.1.3.11	CDS_GroupRevoke		Timeout
1.3.22.1.3.12	CDS_CTS			Timestamp
1.3.22.1.3.13	CDS_UTS			Timestamp
1.3.22.1.3.15	CDS_Class		byte
1.3.22.1.3.16	CDS_ClassVersion	Version
1.3.22.1.3.17	CDS_ObjectUUID		uuid
1.3.22.1.3.19	CDS_Replicas		ReplicaPointer
1.3.22.1.3.20	CDS_AllUpTo		Timestamp
1.3.22.1.3.21	CDS_Convergence		small
1.3.22.1.3.22	CDS_InCHName		small
1.3.22.1.3.23	CDS_ParentPointer	ParentPointer
1.3.22.1.3.24	CDS_DirectoryVersion	Version
1.3.22.1.3.25	CDS_UpgradeTo		Version
1.3.22.1.3.27	CDS_LinkTarget		FullName
1.3.22.1.3.28	CDS_LinkTimeout		Timeout
1.3.22.1.3.30	CDS_Towers		byte
1.3.22.1.3.32	CDS_CHName		FullName
1.3.22.1.3.34	CDS_CHLastAddress	byte
1.3.22.1.3.36	CDS_CHState		small
1.3.22.1.3.37	CDS_CHDirectories	CHDirectory
1.3.22.1.3.40	CDS_ReplicaState	small
1.3.22.1.3.41	CDS_ReplicaType		small
1.3.22.1.3.42	CDS_LastSkulk		Timestamp
1.3.22.1.3.43	CDS_LastUpdate		Timestamp
1.3.22.1.3.44	CDS_RingPointer		uuid
1.3.22.1.3.45	CDS_Epoch		uuid
1.3.22.1.3.46	CDS_ReplicaVersion	Version
1.3.22.1.3.48	CDS_NSCellname		char
1.3.22.1.3.52	CDS_GDAPointers		gdaPointer
1.3.22.1.3.53	CDS_CellAliases		GroupMember
1.3.22.1.3.54	CDS_ParentCellPointers	ReplicaPointer
1.3.22.1.1.1	RPC_ClassVersion	byte
1.3.22.1.1.2	RPC_ObjectUUIDs		byte
1.3.22.1.1.3	RPC_Group               byte
1.3.22.1.1.4	RPC_Profile             byte
1.3.22.1.1.5    RPC_Codesets            byte
1.3.22.1.5.1    SEC_RepUUID             byte
